	sample_id2	treatment	colony	tank	FvFm	bw	chemD	chemN	mech
Cliona_1	7807	AM	D	15	NA	NA	NA	NA	NA
Cliona_Redo13	7829	OA	C	9	0.627	-0.933	-0.0102	-0.0216	-0.0701
Cliona_Redo8	7810	OA	D	9	NA	NA	NA	NA	NA
Cliona_17	7841	AM	B	15	0.658	-0.655	-0.0192	-0.0122	-0.1049
Cliona_4	7847	AM	B	13	0.615	-0.761	-0.0255	-0.0243	-0.0809
Cliona_Redo9	7804	OA	D	11	NA	NA	NA	NA	NA
Cliona_5	7846	OA	B	11	0.633	-0.649	-0.0208	-0.0391	-0.0867
Cliona_Redo5	7830	OA	C	9	0.619	-0.459	-0.0128	-0.0257	-0.0891
Cliona_6	7831	AM	C	13	0.617	-0.375	-0.0265	-0.0249	-0.059
Cliona_Redo7	7842	AM	B	15	0.646	-0.541	-0.0642	-0.0134	-0.1266
Cliona_Redo3	7821	OA	C	11	0.63	-1.132	-0.0065	-0.0137	-0.0455
Cliona_21	7806	AM	D	15	0.622	-1.077	NA	NA	NA
Cliona_8	7828	AM	C	13	0.62	-1.39	-0.0278	-0.0194	-0.0596
Cliona_22	7808	AM	D	13	0.621	-0.74	NA	NA	NA
Cliona_9	7839	OA	B	11	0.638	-1.169	-0.0287	-0.0162	-0.0765
Cliona_23	7845	OA	B	9	0.645	-0.574	-0.0134	-0.0264	-0.0414
Cliona_Redo2	7814	AM	D	13	0.604	NA	NA	NA	NA
Cliona_Redo1	7840	OA	B	9	0.654	-1.464	-0.0387	-0.0377	-0.0793
Cliona_Redo12	7825	AM	C	15	0.671	-0.781	-0.0162	-0.0387	-0.1027
Cliona_10	7812	OA	D	9	0.606	-1.112	NA	NA	NA
Cliona_Redo4	7824	OA	C	11	0.637	-0.427	-0.0211	-0.0388	-0.0496
Cliona_Redo10	7817	AM	C	15	0.638	-0.406	-0.0277	-0.0129	-0.1039
Cliona_Redo11	7805	OA	D	11	0.61	-0.945	NA	NA	NA
