Cliona_10	Cliona_17	Cliona_1	Cliona_21	Cliona_22	Cliona_23	Cliona_4	Cliona_5	Cliona_6	Cliona_8	Cliona_9	Cliona_Redo10	Cliona_Redo11	Cliona_Redo12	Cliona_Redo13	Cliona_Redo1	Cliona_Redo2	Cliona_Redo3	Cliona_Redo4	Cliona_Redo5	Cliona_Redo7	Cliona_Redo8	Cliona_Redo9	
Cvarians0	13	40	13	9	4	25	19	19	27	9	13	28	12	3	13	13	16	19	29	21	36	6	14	
Cvarians1	1833	3510	2119	1977	1832	2466	2108	2360	2108	1912	2390	2546	2246	1886	3133	2382	2336	2629	1911	2134	2922	1336	2642	
Cvarians1000	2912	4507	2783	2670	2518	2705	2178	3110	3175	2155	2360	3827	3497	2491	3719	2784	3823	3480	3900	3351	4011	1842	3739	
Cvarians10000	302	633	406	425	332	292	374	393	272	203	362	377	493	345	476	326	498	397	437	380	599	293	530	
Cvarians10001	121	131	128	157	101	72	56	78	74	59	74	75	162	37	98	79	176	92	78	72	100	95	206	
Cvarians100010	4	14	0	4	141	42	20	0	0	1	19	87	9	41	3	126	31	0	0	0	14	21	1	
Cvarians10002	23	53	25	16	11	30	21	66	33	24	19	24	27	25	39	46	23	32	49	25	51	12	22	
Cvarians100020	2	3	4	6	2	2	2	7	22	8	1	8	5	12	12	2	5	6	6	12	5	7	3	
Cvarians100043	6	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	1	
Cvarians10006	281	733	375	260	442	434	321	332	287	175	363	545	351	327	645	613	197	293	185	248	611	190	364	
Cvarians100062	0	0	0	1	40	11	0	1	1	0	3	11	0	2	0	20	0	0	0	0	0	1	1	
Cvarians10007	230	380	260	226	194	221	210	203	161	210	206	265	313	163	294	218	346	282	213	242	323	186	384	
Cvarians10009	16	5	96	186	283	16	13	36	30	30	7	51	53	36	60	67	61	24	15	27	10	333	96	
Cvarians1001	33	66	209	582	218	62	19	19	37	51	35	114	192	59	384	22	198	82	74	101	64	416	170	
Cvarians100100	0	0	0	0	0	0	3	0	0	3	0	0	0	1	0	0	0	4	0	0	3	0	0	
Cvarians100108	0	19	0	0	0	13	7	19	34	3	12	3	0	10	2	8	0	21	30	4	17	0	0	
Cvarians10011	35	53	47	22	28	27	24	33	29	16	26	33	41	31	43	40	43	39	49	38	72	23	63	
Cvarians100116	3	8	0	0	0	0	0	6	9	0	0	0	1	0	0	0	7	0	17	0	6	0	1	
Cvarians10012	110	203	128	139	168	147	132	114	86	103	111	127	138	99	169	125	151	105	112	125	176	91	141	
Cvarians100120	16	6	16	20	42	5	1	1	2	0	0	5	0	16	10	27	1	0	0	0	6	11	1	
Cvarians100121	0	7	0	0	0	6	2	5	4	20	3	0	7	6	3	1	0	15	1	0	3	0	4	
Cvarians100124	0	11	0	0	0	7	1	2	3	17	17	0	17	7	4	1	0	15	2	0	2	0	7	
Cvarians100128	43	62	21	28	21	88	36	45	28	40	45	55	26	44	59	39	28	42	22	20	28	26	35	
Cvarians10013	99	222	139	96	103	106	97	144	137	94	107	134	161	103	170	141	211	140	164	131	190	83	183	
Cvarians100133	0	2	0	4	2	1	0	0	0	0	2	0	2	0	1	4	2	0	0	2	0	10	0	
Cvarians100137	25	35	15	0	3	2	0	31	12	6	0	6	10	4	8	2	5	13	16	4	24	0	10	
Cvarians100139	60	118	52	8	6	25	46	108	100	38	13	18	52	55	21	45	68	46	75	60	187	4	76	
Cvarians100141	20	34	14	12	7	43	17	18	19	27	29	14	20	34	26	28	10	30	8	13	22	14	20	
Cvarians100147	0	0	12	9	55	4	0	2	3	0	0	19	6	21	11	20	2	4	0	3	2	7	14	
Cvarians10015	165	400	229	227	173	182	189	269	246	165	224	250	269	222	298	222	348	257	342	294	343	128	299	
Cvarians100153	52	19	0	15	2	28	2	36	2	1	36	10	5	7	1	65	21	1	0	1	91	7	3	
Cvarians100157	8	0	5	5	2	0	1	1	79	67	0	87	10	33	55	0	0	79	69	75	1	1	6	
Cvarians10016	10	27	10	3	1	26	10	12	7	19	13	15	8	12	11	11	4	14	3	5	16	7	8	
Cvarians100161	1	5	0	4	1	0	0	0	0	0	0	0	0	1	1	6	0	0	0	0	0	1	0	
Cvarians100165	0	3	0	0	0	0	0	0	0	1	4	0	0	0	0	15	0	0	0	0	0	0	0	
